briefDescription,description,functionSummary,chromosome,ORF,Gene,phenotypeSummary,orf_strand,end,start,Gene_ORF
General repressor of transcription,"General repressor of transcription; forms complex with Cyc8p, involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4, appears to enhance expression of some genes",General transcription repressor that binds histones and is involved in nucleosome positioning; forms repressor complex with Cyc8p,chrIII,YCR084C,TUP1,"Non-essential gene; null mutant grows slowly, cannot respire, has decreased fitness, shortened lifespan, and is sensitive to heat, various antibiotics, antimalarial quinine; homozygous diploid null has rounded cells, abnormal budding pattern, cannot sporulate
",-1,262452,260311,TUP1
General splicing factor,General splicing factor; required for stable U2 snRNP binding to primary transcripts; essential for the first step of splicing; component of the pre-catalytic spliceosome complex containing Cef1p; similar to S. pombe Cwf24p,"Component of U2-type spliceosomal complex involved in snoRNA and mRNA splicing, as well as the generation of catalytic splicesome",chrXII,YLR323C,CWC24,Essential gene; repression leads to accumulation of unspliced pre-mRNAs; overexpression causes increased chromosome instability,-1,778952,778173,CWC24
General transcriptional co-repressor,General transcriptional co-repressor; acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form the prion [OCT+],Chromatin-remoding transcription factor that regulates transcription by RNA polymerase II; binds histone deacetylases and is involved in nucleosome positioning; present in transcriptional repressor complex with Tup1p,chrII,YBR112C,CYC8,"Non-essential gene in S288C, essential gene in Sigma1278b; null grows slowly, buds in random pattern, has large rounded cells, short telomeres, decreased lifespan, and cannot respire; null is also sensitive to heat, oxidative stress, metals, acid, and antimalarial drug mefloquine; homozygous diploid null cannot sporulate
",-1,465770,462870,CYC8
General transcription elongation factor TFIIS,General transcription elongation factor TFIIS; enables RNA polymerase II to read through blocks to elongation by stimulating cleavage of nascent transcripts stalled at transcription arrest sites; maintains RNAPII elongation activity on ribosomal protein genes during conditions of transcriptional stress,"Core RNA polymerase II-recruiting, regulatory region DNA-binding transcription factor involved in transcription initiation, elongation, and antitermination; involved in the maintenance of transcriptional fidelity and regulation of mRNA 3-end processing; also involved in transcription from RNA pol I and III promoters; localizes to the nucleus",chrVII,YGL043W,DST1,"Non-essential gene; null mutant has lower abundance of Polymerase II and exhibits increased sensitivity to toxic nucleobase analogs, azauridine and azauracil; in systematic studies mutants show reduced competitive fitness, haploinsufficiency, and elevated sensitivity to multiple drugs, including fluconazole, bleomycin, hygromycin B; as well as caffeine, cycloheximide, fenpropimorph; mutants also show elevated resistance to tunicamycin and MMS",1,418412,417483,DST1
Genome integrity checkpoint protein and PI kinase superfamily member,"Genome integrity checkpoint protein and PI kinase superfamily member; Mec1p and Dun1p function in same pathway to regulate dNTP pools and telomere length; signal transducer required for cell cycle arrest and transcriptional responses to damaged or unreplicated DNA; facilitates replication fork progression and regulates P-body formation under replication stress; promotes interhomolog recombination by phosphorylating Hop1p; associates with shortened, dysfunctional telomeres","Protein serine/threonine kinase essential for DNA replication, DNA repair and telomere maintenance; localizes to the nucleus and mitochondria",chrII,YBR136W,MEC1,"Essential gene; in an SML1 mutant background the null mutant displays decreased resistance to UV light, ionizing radiation, and DNA replication inhibitors that are also DNA damaging agents; null mutant inhibits phosphorylation of Rad26p, Cdc13p, and Ddc1p, and increases sumoylation of Rfa1p, Rfa2p, and Rad52p; reduction-of-function mutant has decreased G1 arrest, reduced chronological lifespan and increased apoptosis following nutrient depletion; reduction-of-function mutant has elevated mitotic recombination and decreased telomere length; overexpression results in reduced vegetative growth; heterozygous diploid null mutant has elevated chromosomal instability
",1,512774,505668,MEC1
Geranylgeranyl diphosphate synthase (GGPPS),"Geranylgeranyl diphosphate synthase (GGPPS); increases the intracellular pool of geranylgeranyl diphosphate, suppressor of bet2 mutation that causes defective geranylgeranylation of small GTP-binding proteins that mediate vesicular traffic",Mitochondrial farnesyltranstransferase involved in terpenoid biosynthesis,chrXVI,YPL069C,BTS1,"Non-essential gene; null mutant is sensitive to cold and shows reduced levels of geranylgeranyl pyrophosphate; in systematic studies null mutants are sensitive to multiple chemicals, including Congo Red, Calcofluor White, amitrole, cyclisporin A, and show reduced competitive fitness",-1,423892,422885,BTS1
GID Complex regulatory subunit,"GID Complex regulatory subunit; binds GID Complex in response to glucose through interactions with complex member Vid28p; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; promotes proteasome-dependent catabolite degradation of FBPase; peripheral membrane protein located at Vid (vacuole import and degradation) vesicles",,chrII,YBR105C,VID24,,-1,451969,450881,VID24
"GID Complex subunit, serves as adaptor for regulatory subunit Vid24p","GID Complex subunit, serves as adaptor for regulatory subunit Vid24p; protein involved in proteasome-dependent catabolite degradation of fructose-1,6-bisphosphatase (FBPase); localized to the nucleus and the cytoplasm",,chrIX,YIL017C,VID28,,-1,320965,318200,VID28
Glucokinase,"Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication","Glucokinase involved in glucose import, glycolysis, and mannose metabolism",chrIII,YCL040W,GLK1,"Non-essential gene; null mutant has lower survival rate in stationary phase and decreased chronological lifespan
",1,52340,50838,GLK1
Glucosamine-6-phosphate acetyltransferase,"Glucosamine-6-phosphate acetyltransferase; evolutionarily conserved; required for multiple cell cycle events including passage through START, DNA synthesis, and mitosis; involved in UDP-N-acetylglucosamine synthesis, forms GlcNAc6P from AcCoA",Glucosamine 6-phosphate N-acetyltransferase involved in UDP-N-acetylglucosamine biosynthesis; localizes to nucleus and cytoplasm in high-throughput studies,chrVI,YFL017C,GNA1,"Essential gene; reduction-of-function mutation leads to chromosome instability
",-1,104462,103983,GNA1
Glucose-6-phosphate 1-epimerase (hexose-6-phosphate mutarotase),Glucose-6-phosphate 1-epimerase (hexose-6-phosphate mutarotase); likely involved in carbohydrate metabolism; GFP-fusion protein localizes to both the nucleus and cytoplasm and is induced in response to the DNA-damaging agent MMS,,chrXIII,YMR099C,,,-1,464827,463934,YMR099C
Glucose-6-phosphate dehydrogenase (G6PD),Glucose-6-phosphate dehydrogenase (G6PD); catalyzes the first step of the pentose phosphate pathway; involved in adapting to oxidative stress; protein abundance increases in response to DNA replication stress; homolog of human G6PD which is deficient in patients with hemolytic anemia; human G6PD can complement yeast zwf1 null mutant,"Cytoplasmic glucose-6-phosphate dehydrogenase involved in the pentose-phosphate shunt, NADPH regeneration and response to hydrogen peroxide",chrXIV,YNL241C,ZWF1,"Non-essential gene in S288C and W303, essential gene in Sigma1278b; null mutant is auxotrophic for methionine, displays abnormal vacuolar morphology, reduced competitive fitness, and decreased resistance to both pH and oxidative stresses; null displays increased resistance to DNA-damaging agents and antivirals; heterozygous null is haploinsufficient
",-1,197943,196426,ZWF1
Glucose-repressible ADP-ribosylation factor,"Glucose-repressible ADP-ribosylation factor; GTPase of Ras superfamily involved in regulating cell polarity and invasive growth; localizes to dynamic spots at plasma membrane and modulates PtdIns(4,5)P2 levels to facilitate endocytosis; required for localization of endocytic protein Lsb5p to correct cortical site in cells; also has mRNA binding activity; homolog of mammalian Arf6",,chrXV,YOR094W,ARF3,"Non-essential gene; null mutant has abnormalities in polarization of actin cortical patches and abnormal budding pattern; null mutation in in Sigma1278b reduces invasive growth
",1,503346,502795,ARF3
Glucose-repressible alcohol dehydrogenase II,Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1,NAD-dependent alcohol dehydrogenase that converts ethanol to acetylaldehyde; localizes in cytoplasm,chrXIII,YMR303C,ADH2,"Non-essential gene; null mutant accumulates hydrogen peroxide and superoxide and is resistant to allyl alcohol; overexpression stimulates filamentous growth
",-1,874337,873291,ADH2
Glucose-responsive transcription factor,"Glucose-responsive transcription factor; regulates expression of several glucose transporter (HXT) genes in response to glucose; binds to promoters and acts both as a transcriptional activator and repressor; recruits Tup1p/Cyc8p to target gene promoters; RGT1 has a paralog, EDS1, that arose from the whole genome duplication","DNA-binding transcription factor, acts as both an activator and a repressor; involved in the regulation of glucose metabolism; localizes to the nucleus",chrXI,YKL038W,RGT1,,1,369117,365605,RGT1
"Glucosidase II beta subunit, forms a complex with alpha subunit Rot2p","Glucosidase II beta subunit, forms a complex with alpha subunit Rot2p; involved in removal of two glucose residues from N-linked glycans during glycoprotein biogenesis in the ER; relocalizes from ER to cytoplasm upon DNA replication stress",,chrIV,YDR221W,GTB1,,1,909438,907330,GTB1
Glucosidase II catalytic subunit,"Glucosidase II catalytic subunit; required to trim the final glucose in N-linked glycans; required for normal cell wall synthesis; mutations in rot2 suppress tor2 mutations, and are synthetically lethal with rot1 mutations",,chrII,YBR229C,ROT2,,-1,679221,676357,ROT2
Glucosyl transferase,Glucosyl transferase; involved in N-linked glycosylation; adds glucose to the dolichol-linked oligosaccharide precursor prior to transfer to protein during lipid-linked oligosaccharide biosynthesis; similar to Alg6p; human homolog ALG8 can complement yeast null mutant,"Alpha-1,3-glucosyltransferase that transfers glucose from dolichyl phosphate glucose (Dol-P-Glc) to lipid-linked oligosaccharide Man(9)GlcNAc(2)-PP-Dol; involved in synthesis of oligosaccharide precursor for N-linked protein glycosylation; localizes in endoplasmic reticulum",chrXV,YOR067C,ALG8,"Non-essential gene; null mutant is sensitive to reducing agents such as mercaptoethanol and DTT and displays under-glycosylation of secreted proteins; in large-scale studies, the null mutant requires myo-inositol, displays rounded cell shape and decreased competitive fitness, and has altered sensitivity to a variety of chemicals
",-1,453462,451729,ALG8
Glutamate decarboxylase,Glutamate decarboxylase; converts glutamate into gamma-aminobutyric acid (GABA) during glutamate catabolism; involved in response to oxidative stress,,chrXIII,YMR250W,GAD1,,1,772558,770801,GAD1
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis",,chrIV,tE(CUC)D,,,-1,1017278,1017207,tE(CUC)D
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis",,chrIX,tE(CUC)I,,,1,197663,197592,tE(CUC)I
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrXI,tE(UUC)K,,,-1,141089,141018,tE(UUC)K
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrXIII,tE(UUC)M,,,1,290872,290801,tE(UUC)M
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrII,tE(UUC)B,,,1,645238,645167,tE(UUC)B
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrV,tE(UUC)E2,,,1,355005,354934,tE(UUC)E2
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrVII,tE(UUC)G2,,,-1,401598,401527,tE(UUC)G2
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrIX,tE(UUC)I,,,1,370488,370417,tE(UUC)I
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p; can mutate to become a missense suppressor tRNA that inserts glutamate residues at lysine codons; target of K. lactis zymocin",,chrVII,tE(UUC)G1,SOE1,,1,328654,328583,SOE1
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p; target of K. lactis zymocin",,chrX,tE(UUC)J,,,-1,116010,115939,tE(UUC)J
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p; target of K. lactis zymocin",,chrXII,tE(UUC)L,,,1,797249,797178,tE(UUC)L
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p; target of K. lactis zymocin",,chrXVI,tE(UUC)P,,,-1,210263,210192,tE(UUC)P
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p; target of K. lactis zymocin",,chrV,tE(UUC)E1,,,1,177170,177099,tE(UUC)E1
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p; target of K. lactis zymocin",,chrV,tE(UUC)E3,,,-1,487402,487331,tE(UUC)E3
"Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p; target of K. lactis zymocin",,chrVII,tE(UUC)G3,,,1,541921,541850,tE(UUC)G3
Glutamine-dependent NAD(+) synthetase,Glutamine-dependent NAD(+) synthetase; essential for the formation of NAD(+) from nicotinic acid adenine dinucleotide,,chrVIII,YHR074W,QNS1,,1,248337,246193,QNS1
Glutamine-fructose-6-phosphate amidotransferase,"Glutamine-fructose-6-phosphate amidotransferase; catalyzes the formation of glucosamine-6-P and glutamate from fructose-6-P and glutamine in the first step of chitin biosynthesis; GFA1 has a paralogous region, comprising ORFs YMR084W-YMR085W, that arose from the whole genome duplication",Glutamine-fructose-6-phosphate transaminase involved in cell wall chitin biosynthesis,chrXI,YKL104C,GFA1,,-1,245373,243220,GFA1
Glutamine-rich cytoplasmic cochaperone,"Glutamine-rich cytoplasmic cochaperone; serves as a scaffold bringing together Get4, Get5p, and other TRC complex members that are required to mediate posttranslational insertion of tail-anchored proteins into the ER membrane; interacts with the prion domain of Sup35p; amyloid sensor; plays a role in targeting chaperones to prion aggregates; similar to human cochaperone SGT; forms cytoplasmic foci upon DNA replication stress",,chrXV,YOR007C,SGT2,,-1,339978,338938,SGT2
Glutamine synthetase (GS),"Glutamine synthetase (GS); synthesizes glutamine from glutamate and ammonia; with Glt1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source and by amino acid limitation; forms filaments of back-to-back stacks of cylindrical homo-decamers at low pH, leading to enzymatic inactivation and storage during states of advanced cellular starvation; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress",Glutamate-ammonia ligase involved in glutamine biosynthesis; localizes to nuclear periphery,chrXVI,YPR035W,GLN1,"Essential gene in S288C; reduction of function leads to hypoosmotic stress sensitivity rescuable by osmotic support in growth medium; non-essential gene in Sigma1278b, where null mutation causes glutamine auxotrophy and reduced filamentous growth
",1,643320,642208,GLN1
Glutamine tRNA synthetase,Glutamine tRNA synthetase; monomeric class I tRNA synthetase that catalyzes the specific glutaminylation of tRNA(Gln); N-terminal domain proposed to be involved in enzyme-tRNA interactions,Glutaminyl-tRNA synthetase that performs glutaminyl-tRNA aminoacylation by coupling glutamine to glutaminyl-tRNA; localizes to both the cytosol and mitochondria,chrXV,YOR168W,GLN4,,1,651732,649303,GLN4
"Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis","Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis; can mutate to cause constitutive pseudohyphal growth in homozygous diploids; required for localization of transcription factor Gln3p to the nucleus in response to nitrogen starvation or rapamycin treatment",,chrXIII,tQ(CUG)M,CDC65,,-1,808317,808246,CDC65
"Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis","Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrXII,tQ(UUG)L,,"Non-essential gene; null grow exhibit increased growth rate, but slow growth under glucose limitation, and grow faster than wild-type when subjected to reducing agent 1,4-dithiothreitol
",-1,448721,448650,tQ(UUG)L
"Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis","Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrII,tQ(UUG)B,,,1,350898,350827,tQ(UUG)B
"Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis","Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrIII,tQ(UUG)C,,,-1,168372,168301,tQ(UUG)C
"Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis","Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrIV,tQ(UUG)D1,,,1,521043,520972,tQ(UUG)D1
"Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis","Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrIV,tQ(UUG)D2,,,-1,645224,645153,tQ(UUG)D2
"Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis","Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrIV,tQ(UUG)D3,,,-1,802802,802731,tQ(UUG)D3
"Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis","Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrV,tQ(UUG)E1,,,1,250357,250286,tQ(UUG)E1
"Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis","Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrV,tQ(UUG)E2,,"Non-essential gene; null mutants grow slowly, and have diminished capacity to utilize galactose as a carbon source, but grow faster than wild type when subjected to reducing agent 1,4-dithiothreitol
",-1,131153,131082,tQ(UUG)E2
"Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis","Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrVIII,tQ(UUG)H,,"Non-essential gene; null mutants exhibit increased growth rate in salt, but grow slower than wild-type when subjected to reducing agent 1,4-dithiothreitol
",1,134392,134321,tQ(UUG)H
"Glutamine tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis","Glutamine tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p",,chrIII,tE(UUC)C,,,-1,82533,82462,tE(UUC)C
Glutamyl-tRNA synthetase (GluRS),Glutamyl-tRNA synthetase (GluRS); forms a complex with methionyl-tRNA synthetase (Mes1p) and Arc1p; complex formation increases the catalytic efficiency of both tRNA synthetases and ensures their correct localization to the cytoplasm; protein abundance increases in response to DNA replication stress,,chrVII,YGL245W,GUS1,,1,41149,39023,GUS1
Glutaredoxin that employs a dithiol mechanism of catalysis,Glutaredoxin that employs a dithiol mechanism of catalysis; monomeric; activity is low and null mutation does not affect sensitivity to oxidative stress; GFP-fusion protein localizes to the cytoplasm; expression strongly induced by arsenic,,chrXII,YLR364W,GRX8,,1,854391,854062,GRX8
Glutathione-dependent disulfide oxidoreductase,"Glutathione-dependent disulfide oxidoreductase; hydroperoxide and superoxide-radical responsive, heat-stable, with active site cysteine pair; protects cells from oxidative damage; GRX1 has a paralog, GRX2, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress",,chrIII,YCL035C,GRX1,,-1,61173,60841,GRX1
Glutathione-dependent oxidoreductase,"Glutathione-dependent oxidoreductase; hydroperoxide and superoxide-radical responsive; monothiol glutaredoxin subfamily member along with Grx3p and Grx5p; protects cells from oxidative damage; with Grx3p, binds to Aft1p in iron-replete conditions, promoting its dissociation from promoters; mutant has increased aneuploidy tolerance; transcription regulated by Yap5p; GRX4 has a paralog, GRX3, that arose from the whole genome duplication","RNA polymerase II activating transcription factor-binding disulfide oxidoreductase involved in actin cytoskeleton organization, positive regulation of histone deacetylation, oxidative stress response, and iron ion homeostasis; localizes to nucleus",chrV,YER174C,GRX4,,-1,539168,538434,GRX4
Glutathione-dependent oxidoreductase,"Glutathione-dependent oxidoreductase; hydroperoxide and superoxide-radical responsive; monothiol glutaredoxin subfamily member along with Grx4p and Grx5p; protects cells from oxidative damage; with Grx4p, binds to Aft1p in iron-replete conditions, promoting its dissociation from promoters; evidence exists indicating that the translation start site is not Met1 as currently annotated, but rather Met36; GRX3 has a paralog, GRX4, that arose from the whole genome duplication","RNA polymerase II activating transcription factor-binding disulfide oxidoreductase involved in actin cytoskeleton organization, positive regulation of histone deacetylation, oxidative stress response, and iron ion homeostasis; localizes to both nucleus and cytosol",chrIV,YDR098C,GRX3,,-1,644930,644178,GRX3
Glutathione-dependent oxidoreductase,Glutathione-dependent oxidoreductase; mitochondrial matrix protein involved at an early step in the biogenesis of iron-sulfur centers along with Bol1p; hydroperoxide and superoxide-radical responsive; monothiol glutaredoxin subfamily member along with Grx3p and Grx4p,"Mitochondrial disulfide oxidoreductase involved in iron-sulfur cluster transfer during protein maturation, oxidative stress response, and osmotic stress response; localizes to mitochondrial matrix",chrXVI,YPL059W,GRX5,,1,445031,444579,GRX5
Glutathione S-transferase capable of homodimerization,"Glutathione S-transferase capable of homodimerization; functional overlap with Gtt2p, Grx1p, and Grx2p; protein abundance increases in response to DNA replication stress",,chrXII,YLL060C,GTT2,,-1,21839,21138,GTT2
Glutathione synthetase,Glutathione synthetase; catalyzes the ATP-dependent synthesis of glutathione (GSH) from gamma-glutamylcysteine and glycine; induced by oxidative stress and heat shock,"Glutathione synthase involved in the formation of glutathione, which acts as a coenzyme for some enzymes and as an antioxidant in the protection of sulfhydryl groups in enzymes and other proteins",chrXV,YOL049W,GSH2,"Non-essential gene; null mutant has lower amounts of intracellular glutathione, grows slowly, displays sensitivity to methylglyoxal and resistance to diamide; also shows decreased intracellular accumulation of copper, but increased accumulation of cadmium, molybdenum, nickel
",1,240094,238619,GSH2
"Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 1","Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 1; involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell wall; protein abundance increases in response to DNA replication stress; GAPDH-derived antimicrobial peptides secreted by S. cerevisiae are active against a wide variety of wine-related yeasts and bateria","Glyceraldehyde-3-phosphate dehydrogenase (NAD+); catalyses the conversion of glyceraldehyde-3-phosphate to 3-phospho-D-glyceroyl-phosphate during glycolysis and the reverse reaction during gluconeogenesis; localizes to the mitochondria, lipid particles, and during stationary phase to the cell wall and cytosol; localizes to the plasma membrane in high-throughput studies",chrX,YJL052W,TDH1,"Non-essential gene; null mutants are heat-tolerant, grow slowly, show decreased biofilm formation, are defective in vacuolar fragmentation, and sensitive to desiccation, mutagens, and antipsychotic drugs
",1,339269,338271,TDH1
"Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 2","Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 2; involved in glycolysis and gluconeogenesis; tetramer that catalyzes reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in cytoplasm and cell wall; protein abundance increases in response to DNA replication stress; GAPDH-derived antimicrobial peptides are active against a wide variety of wine-related yeasts and bateria; TDH2 has a paralog, TDH3, that arose from the whole genome duplication","Glyceraldehyde-3-phosphate dehydrogenase involved in glycolysis, gluconeogenesis, apoptosis, and the metabolism of reactive oxygen species; binds to promoter-associated sections of chromatin; localizes to the cytoplasm, mitochondria, lipid particles, and the cell wall",chrX,YJR009C,TDH2,,-1,454681,453683,TDH2
"Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 3","Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 3; involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell wall; GAPDH-derived antimicrobial peptides secreted by S. cerevisiae are active against a wide variety of wine-related yeasts and bacteria; binds AU-rich RNA","Glyceraldehyde-3-phosphate dehydrogenase involved in glycolysis, gluconeogenesis, apoptosis, and the metabolism of reactive oxygen species; binds RNA; localizes to cytoplasm, mitochondria, lipid particles, and the cell wall",chrVII,YGR192C,TDH3,"Non-essential gene; null mutant is temperature sensitive, has a decreased growth rate and reduced competitive fitness in various growth media; null mutant displays increased survival following a ramped heat stimulus; null mutant has decreased desiccation resistance, and acid pH resistance but increased resistance to zinc deficiency; haploinsufficiency results in chromosome instability; overexpression results in a decreased growth rate, and an extended G1 phase
",-1,883810,882812,TDH3
Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase,Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; dual substrate-specific acyltransferase of the glycerolipid biosynthesis pathway; prefers 16-carbon fatty acids; similar to Gpt2p; gene is constitutively transcribed,Glycerol-3-phosphate- and glycerone-phosphate O-acyltransferase involved in phospholipid biosynthesis; localizes to endoplasmic reticulum,chrII,YBL011W,SCT1,,1,205817,203538,SCT1
Glycerol-3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase,Glycerol-3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; located in lipid particles and the ER; involved in the stepwise acylation of glycerol-3-phosphate and dihydroxyacetone in lipid biosynthesis; the most conserved motifs and functionally relevant residues are oriented towards the ER lumen,,chrXI,YKR067W,GPT2,,1,570149,567918,GPT2
Glycerol dehydrogenase,"Glycerol dehydrogenase; involved in an alternative pathway for glycerol catabolism used under microaerobic conditions; also has mRNA binding activity; member of the aldo-keto reductase (AKR) family; human homolog AKR1B1 can complement yeast null mutant; protein abundance increases in response to DNA replication stress; GCY1 has a paralog, YPR1, that arose from the whole genome duplication",Glycerol dehydrogenase [NAD(P)+] and aldose reductase; contributes to arabinose and D-xylose degradation; catalyzes the first step in conversion of glycerol to glycerone phosphate; localizes to nucleus and cytoplasm in high-throughput studies,chrXV,YOR120W,GCY1,"Non-essential gene; null mutant grows slowly and shows sensitivity to cicloheximide and decreased competitive fitness; homozygous diploid is resistant to Calcofluor White
",1,552052,551114,GCY1
Glycerol kinase,Glycerol kinase; converts glycerol to glycerol-3-phosphate; glucose repression of expression is mediated by Adr1p and Ino2p-Ino4p; derepression of expression on non-fermentable carbon sources is mediated by Opi1p and Rsf1p,Glycerol kinase involved in glycerol metabolism; localized to the mitochondrion,chrVIII,YHL032C,GUT1,,-1,38508,36379,GUT1
