# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_bidirectional_gene_fusion	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_duplication	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_gene_fusion	variants_effect_inversion	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
YCR066W	YCR066W	TRANSCRIPT_YCR066W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR067C	YCR067C	TRANSCRIPT_YCR067C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR068W	YCR068W	TRANSCRIPT_YCR068W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR069W	YCR069W	TRANSCRIPT_YCR069W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR071C	YCR071C	TRANSCRIPT_YCR071C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR072C	YCR072C	TRANSCRIPT_YCR072C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR073C	YCR073C	TRANSCRIPT_YCR073C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR073W-A	YCR073W-A	TRANSCRIPT_YCR073W-A	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR075C	YCR075C	TRANSCRIPT_YCR075C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR075W-A	YCR075W-A	TRANSCRIPT_YCR075W-A	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR076C	YCR076C	TRANSCRIPT_YCR076C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR077C	YCR077C	TRANSCRIPT_YCR077C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR079W	YCR079W	TRANSCRIPT_YCR079W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR081C-A	YCR081C-A	TRANSCRIPT_YCR081C-A	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR081W	YCR081W	TRANSCRIPT_YCR081W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR082W	YCR082W	TRANSCRIPT_YCR082W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR083W	YCR083W	TRANSCRIPT_YCR083W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR084C	YCR084C	TRANSCRIPT_YCR084C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR085W	YCR085W	TRANSCRIPT_YCR085W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR086W	YCR086W	TRANSCRIPT_YCR086W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR087C-A	YCR087C-A	TRANSCRIPT_YCR087C-A	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR087W	YCR087W	TRANSCRIPT_YCR087W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR088W	YCR088W	TRANSCRIPT_YCR088W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR089W	YCR089W	TRANSCRIPT_YCR089W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR090C	YCR090C	TRANSCRIPT_YCR090C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR091W	YCR091W	TRANSCRIPT_YCR091W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR092C	YCR092C	TRANSCRIPT_YCR092C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR093W	YCR093W	TRANSCRIPT_YCR093W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR094W	YCR094W	TRANSCRIPT_YCR094W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR095C	YCR095C	TRANSCRIPT_YCR095C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR095W-A	YCR095W-A	TRANSCRIPT_YCR095W-A	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR096C	YCR096C	TRANSCRIPT_YCR096C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR097W	YCR097W	TRANSCRIPT_YCR097W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR097W-A	YCR097W-A	TRANSCRIPT_YCR097W-A	protein_coding	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
YCR098C	YCR098C	TRANSCRIPT_YCR098C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YCR108C	YCR108C	TRANSCRIPT_YCR108C	protein_coding	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
YDL001W	YDL001W	TRANSCRIPT_YDL001W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL002C	YDL002C	TRANSCRIPT_YDL002C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDL003W	YDL003W	TRANSCRIPT_YDL003W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL004W	YDL004W	TRANSCRIPT_YDL004W	protein_coding	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0
YDL005C	YDL005C	TRANSCRIPT_YDL005C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL006W	YDL006W	TRANSCRIPT_YDL006W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDL007W	YDL007W	TRANSCRIPT_YDL007W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDL034W	YDL034W	TRANSCRIPT_YDL034W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL035C	YDL035C	TRANSCRIPT_YDL035C	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
YDL036C	YDL036C	TRANSCRIPT_YDL036C	protein_coding	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
YDL037C	YDL037C	TRANSCRIPT_YDL037C	protein_coding	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1
YDL039C	YDL039C	TRANSCRIPT_YDL039C	protein_coding	2	1	2	4	0	1	2	0	1	0	1	0	0	0	1	0	0	0	4
YDL040C	YDL040C	TRANSCRIPT_YDL040C	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
YDL041W	YDL041W	TRANSCRIPT_YDL041W	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
YDL042C	YDL042C	TRANSCRIPT_YDL042C	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
YDL093W	YDL093W	TRANSCRIPT_YDL093W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL094C	YDL094C	TRANSCRIPT_YDL094C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDL095W	YDL095W	TRANSCRIPT_YDL095W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL096C	YDL096C	TRANSCRIPT_YDL096C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDL097C	YDL097C	TRANSCRIPT_YDL097C	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YDL098C	YDL098C	TRANSCRIPT_YDL098C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL099W	YDL099W	TRANSCRIPT_YDL099W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDL100C	YDL100C	TRANSCRIPT_YDL100C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL101C	YDL101C	TRANSCRIPT_YDL101C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL167C	YDL167C	TRANSCRIPT_YDL167C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDL168W	YDL168W	TRANSCRIPT_YDL168W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL169C	YDL169C	TRANSCRIPT_YDL169C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDL170W	YDL170W	TRANSCRIPT_YDL170W	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YDL171C	YDL171C	TRANSCRIPT_YDL171C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL228C	YDL228C	TRANSCRIPT_YDL228C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDL229W	YDL229W	TRANSCRIPT_YDL229W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL230W	YDL230W	TRANSCRIPT_YDL230W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL231C	YDL231C	TRANSCRIPT_YDL231C	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YDL232W	YDL232W	TRANSCRIPT_YDL232W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDL233W	YDL233W	TRANSCRIPT_YDL233W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDL234C	YDL234C	TRANSCRIPT_YDL234C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDL243C	YDL243C	TRANSCRIPT_YDL243C	protein_coding	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
YDL248W	YDL248W	TRANSCRIPT_YDL248W	protein_coding	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
YDR008C	YDR008C	TRANSCRIPT_YDR008C	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
YDR009W	YDR009W	TRANSCRIPT_YDR009W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR010C	YDR010C	TRANSCRIPT_YDR010C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR011W	YDR011W	TRANSCRIPT_YDR011W	protein_coding	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
YDR012W	YDR012W	TRANSCRIPT_YDR012W	protein_coding	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
YDR013W	YDR013W	TRANSCRIPT_YDR013W	protein_coding	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
YDR014W	YDR014W	TRANSCRIPT_YDR014W	protein_coding	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
YDR014W-A	YDR014W-A	TRANSCRIPT_YDR014W-A	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR015C	YDR015C	TRANSCRIPT_YDR015C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR016C	YDR016C	TRANSCRIPT_YDR016C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR017C	YDR017C	TRANSCRIPT_YDR017C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR018C	YDR018C	TRANSCRIPT_YDR018C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR019C	YDR019C	TRANSCRIPT_YDR019C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR020C	YDR020C	TRANSCRIPT_YDR020C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR021W	YDR021W	TRANSCRIPT_YDR021W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR022C	YDR022C	TRANSCRIPT_YDR022C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR023W	YDR023W	TRANSCRIPT_YDR023W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR024W	YDR024W	TRANSCRIPT_YDR024W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR025W	YDR025W	TRANSCRIPT_YDR025W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR026C	YDR026C	TRANSCRIPT_YDR026C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR027C	YDR027C	TRANSCRIPT_YDR027C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR028C	YDR028C	TRANSCRIPT_YDR028C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR029W	YDR029W	TRANSCRIPT_YDR029W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR030C	YDR030C	TRANSCRIPT_YDR030C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR031W	YDR031W	TRANSCRIPT_YDR031W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR032C	YDR032C	TRANSCRIPT_YDR032C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR033W	YDR033W	TRANSCRIPT_YDR033W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR034C	YDR034C	TRANSCRIPT_YDR034C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR034C-A	YDR034C-A	TRANSCRIPT_YDR034C-A	protein_coding	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
YDR034W-B	YDR034W-B	TRANSCRIPT_YDR034W-B	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR035W	YDR035W	TRANSCRIPT_YDR035W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR036C	YDR036C	TRANSCRIPT_YDR036C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR037W	YDR037W	TRANSCRIPT_YDR037W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR038C	YDR038C	TRANSCRIPT_YDR038C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR039C	YDR039C	TRANSCRIPT_YDR039C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR040C	YDR040C	TRANSCRIPT_YDR040C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR041W	YDR041W	TRANSCRIPT_YDR041W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR042C	YDR042C	TRANSCRIPT_YDR042C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR043C	YDR043C	TRANSCRIPT_YDR043C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR044W	YDR044W	TRANSCRIPT_YDR044W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR045C	YDR045C	TRANSCRIPT_YDR045C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR046C	YDR046C	TRANSCRIPT_YDR046C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR047W	YDR047W	TRANSCRIPT_YDR047W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR048C	YDR048C	TRANSCRIPT_YDR048C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR049W	YDR049W	TRANSCRIPT_YDR049W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR050C	YDR050C	TRANSCRIPT_YDR050C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR051C	YDR051C	TRANSCRIPT_YDR051C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR052C	YDR052C	TRANSCRIPT_YDR052C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR053W	YDR053W	TRANSCRIPT_YDR053W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR054C	YDR054C	TRANSCRIPT_YDR054C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR055W	YDR055W	TRANSCRIPT_YDR055W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR056C	YDR056C	TRANSCRIPT_YDR056C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR057W	YDR057W	TRANSCRIPT_YDR057W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR058C	YDR058C	TRANSCRIPT_YDR058C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR059C	YDR059C	TRANSCRIPT_YDR059C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR060W	YDR060W	TRANSCRIPT_YDR060W	protein_coding	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
YDR061W	YDR061W	TRANSCRIPT_YDR061W	protein_coding	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
YDR062W	YDR062W	TRANSCRIPT_YDR062W	protein_coding	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
YDR063W	YDR063W	TRANSCRIPT_YDR063W	protein_coding	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1
YDR064W	YDR064W	TRANSCRIPT_YDR064W	protein_coding	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
YDR065W	YDR065W	TRANSCRIPT_YDR065W	protein_coding	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
YDR066C	YDR066C	TRANSCRIPT_YDR066C	protein_coding	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
YDR067C	YDR067C	TRANSCRIPT_YDR067C	protein_coding	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
YDR068W	YDR068W	TRANSCRIPT_YDR068W	protein_coding	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
YDR069C	YDR069C	TRANSCRIPT_YDR069C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR070C	YDR070C	TRANSCRIPT_YDR070C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR071C	YDR071C	TRANSCRIPT_YDR071C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR072C	YDR072C	TRANSCRIPT_YDR072C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR073W	YDR073W	TRANSCRIPT_YDR073W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR074W	YDR074W	TRANSCRIPT_YDR074W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR075W	YDR075W	TRANSCRIPT_YDR075W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR076W	YDR076W	TRANSCRIPT_YDR076W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR077W	YDR077W	TRANSCRIPT_YDR077W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR078C	YDR078C	TRANSCRIPT_YDR078C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR079C-A	YDR079C-A	TRANSCRIPT_YDR079C-A	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR079W	YDR079W	TRANSCRIPT_YDR079W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR080W	YDR080W	TRANSCRIPT_YDR080W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR081C	YDR081C	TRANSCRIPT_YDR081C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR082W	YDR082W	TRANSCRIPT_YDR082W	protein_coding	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
YDR083W	YDR083W	TRANSCRIPT_YDR083W	protein_coding	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
YDR084C	YDR084C	TRANSCRIPT_YDR084C	protein_coding	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
YDR085C	YDR085C	TRANSCRIPT_YDR085C	protein_coding	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
YDR086C	YDR086C	TRANSCRIPT_YDR086C	protein_coding	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
YDR087C	YDR087C	TRANSCRIPT_YDR087C	protein_coding	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
YDR088C	YDR088C	TRANSCRIPT_YDR088C	protein_coding	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
YDR089W	YDR089W	TRANSCRIPT_YDR089W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR090C	YDR090C	TRANSCRIPT_YDR090C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR091C	YDR091C	TRANSCRIPT_YDR091C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR092W	YDR092W	TRANSCRIPT_YDR092W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR093W	YDR093W	TRANSCRIPT_YDR093W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR094W	YDR094W	TRANSCRIPT_YDR094W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR095C	YDR095C	TRANSCRIPT_YDR095C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR096W	YDR096W	TRANSCRIPT_YDR096W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR097C	YDR097C	TRANSCRIPT_YDR097C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR098C	YDR098C	TRANSCRIPT_YDR098C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR099W	YDR099W	TRANSCRIPT_YDR099W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR100W	YDR100W	TRANSCRIPT_YDR100W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR101C	YDR101C	TRANSCRIPT_YDR101C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YDR102C	YDR102C	TRANSCRIPT_YDR102C	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
YDR103W	YDR103W	TRANSCRIPT_YDR103W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YDR245W	YDR245W	TRANSCRIPT_YDR245W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDR246W	YDR246W	TRANSCRIPT_YDR246W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDR246W-A	YDR246W-A	TRANSCRIPT_YDR246W-A	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDR247W	YDR247W	TRANSCRIPT_YDR247W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDR248C	YDR248C	TRANSCRIPT_YDR248C	protein_coding	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
YDR249C	YDR249C	TRANSCRIPT_YDR249C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDR250C	YDR250C	TRANSCRIPT_YDR250C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDR251W	YDR251W	TRANSCRIPT_YDR251W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDR269C	YDR269C	TRANSCRIPT_YDR269C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDR270W	YDR270W	TRANSCRIPT_YDR270W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDR271C	YDR271C	TRANSCRIPT_YDR271C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YDR272W	YDR272W	TRANSCRIPT_YDR272W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDR273W	YDR273W	TRANSCRIPT_YDR273W	protein_coding	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0
YDR274C	YDR274C	TRANSCRIPT_YDR274C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDR275W	YDR275W	TRANSCRIPT_YDR275W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
